,Domain,Company,Location,Start_Date,Duration,Stipend,Apply_by
129,Graphic Design,Digital Ipsum,Work From Home,Immediately,3 Months,"4,000 /month",30 Aug' 22
130,Sales,Digital Ipsum,Work From Home,Immediately,3 Months,"4,000 /month",30 Aug' 22
131,Creative Writing,Digital Ipsum,Work From Home,Immediately,3 Months,"4,000 /month",30 Aug' 22
132,Content Writing,Cynergi,Work From Home,Immediately,6 Months,"3,000 /month",30 Aug' 22
133,Graphic Design,Cynergi,Mumbai,Immediately,6 Months,"3,000 /month",30 Aug' 22
134,Graphic Design,AceBurgeon Digital,Work From Home,Immediately,3 Months,"5,000 /month",30 Aug' 22
135,Web Development,Wealth Socials,Work From Home,Immediately,3 Months,"3,000-6,000 /month",30 Aug' 22
136,Graphic Design,Maea Synergies Private Limited,Delhi,Immediately,3 Months,"10,000 /month",30 Aug' 22
137,Operations,Indian Institute Of Legal English,Pune,Immediately,6 Months,"15,000-18,000 /month",30 Aug' 22
138,Electronics Engineering (Robotics),Greenleap Robotics Private Limited,Ghaziabad,Immediately,2 Months,"6,000 /month",30 Aug' 22
139,Graphic Design,GoodGame Nation,Chennai,Immediately,6 Months,"7,000-10,000 /month",30 Aug' 22
140,Telecalling (Sales),Your Digital Lift,Mumbai,Immediately,4 Months,"6,000-9,000 /month",30 Aug' 22
141,Graphic Design,KaHa Technologies,Bangalore,Immediately,2 Months,"12,000-15,000 /month",30 Aug' 22
142,Business Development (Sales),Trex Learning Solutions Private Limited,Chennai,Immediately,3 Months,"30,000 /month",30 Aug' 22
143,Business Development (Sales),SuperCorp,Mumbai,Immediately,2 Months,"5,000 /month +  Incentives",30 Aug' 22
144,Business Development (Sales),Lfyd,Work From Home,Immediately,2 Months,"2,000-7,000 /month",30 Aug' 22
145,Digital Marketing,Third Eye Innovations,Bangalore,Immediately,3 Months,"2,000 /month",30 Aug' 22
146,Human Resources (HR),Ananta Resource Management Private Limited,Work From Home,Immediately,3 Months,"3,000-8,000 lump sum",30 Aug' 22
147,Data Curation,AIYuga Algorithms,Work From Home,Immediately,3 Months,"1,000 lump sum +  Incentives",30 Aug' 22
148,Fashion Design,Rucha Kode,Pune,Immediately,2 Months,"3,000 /month",30 Aug' 22
149,Human Resources (HR),Compak Talent Advisory,Chennai,Immediately,3 Months,"10,000 /month +  Incentives",30 Aug' 22
150,Digital Illustrations,STAN,Bangalore,Immediately,3 Months,"12,000 /month",30 Aug' 22
151,Video Making/Editing,GOQii Technologies,Mumbai,Immediately,3 Months,"10,000 /month",30 Aug' 22
152,Business Development (Sales),ADDA - 3Five8 Technologies Private Limited,Bangalore,Immediately,3 Months,"15,000 /month",30 Aug' 22
153,International Research & Development,Truely,Work From Home,Immediately,3 Months,"1,000 /month",30 Aug' 22
154,Content Writing,RYT Life Health Tech Private Limited,Bangalore,Immediately,3 Months,"5,000 /month",20 Sep' 22
155,Scriptwriting,Purani Dili Talkies LLP,Delhi,Immediately,6 Months,"7,500 /month",30 Aug' 22
156,Marketing,E Cube Trips,Hyderabad,Immediately,3 Months,"5,000 /month +  Incentives",30 Aug' 22
157,Telecalling & Communications,Purani Dili Talkies LLP,Delhi,Immediately,6 Months,"7,500 /month",30 Aug' 22
158,Executive Assistance,Purani Dili Talkies LLP,Delhi,Immediately,6 Months,"7,500 /month",30 Aug' 22
159,Social Media Marketing,Think201 Creative Studio,Bangalore,Immediately,6 Months,"10,500 /month",30 Aug' 22
160,Business Development (Sales),Times Internet (Economic Times),Mumbai,Immediately,6 Months,"7,000 /month",30 Aug' 22
161,Web Development,JMBDD DIGITAL,Noida,Immediately,3 Months,"10,000 /month",30 Aug' 22
162,Research,Kumudini Educational Cum Charitable Trust,Guwahati,Immediately,3 Months,"10,000 /month",30 Aug' 22
163,Law/Legal,Vijay Sethi & Company,Delhi,Immediately,3 Months,Unpaid,30 Aug' 22
164,Digital Marketing,R Marketing M8,Work From Home,Immediately,4 Months,"10,000-12,000 /month",30 Aug' 22
