,Domain,Company,Location,Start_Date,Duration,Stipend,Apply_by
9632,ASP.NET MVC Development,Trium Info Solutions Private Limited,Mumbai,Immediately,6 Months,"8,000 /month",17 Aug' 22
9633,Client Service Representation,Safari Kid International Pre-School,Gurgaon,Immediately,3 Months,"10,000 /month",17 Aug' 22
9634,Teaching,Hashim Shaikh,Work From Home,Immediately,3 Months,"2,000 /month",16 Aug' 22
9635,Graphic Design,Golden Creek Homes,Bangalore,Immediately,2 Months,"8,000-10,000 /month",17 Aug' 22
9636,Customer Care,Techqueto LLP,Mumbai,Immediately,6 Months,"2,000 /month",17 Aug' 22
9637,Human Resources (HR),BTW Visa Services,Mumbai,Immediately,3 Months,"2,000 /month",17 Aug' 22
9638,Graphic Design,XOR Labs Private Limited,Chandigarh,Immediately,4 Months,"10,000 /month",16 Aug' 22
9639,Product Management,Analytical Center Of Sustainable Development And Digital Economy,Work From Home,Immediately,3 Months,"1,000 /month +  Incentives",16 Aug' 22
9640,Product Development,Analytical Center Of Sustainable Development And Digital Economy,Work From Home,Immediately,3 Months,"1,000 /month +  Incentives",16 Aug' 22
9641,Search Engine Optimization (SEO),UnTold Media,Work From Home,Immediately,6 Months,"7,000 /month",17 Aug' 22
9642,Digital Marketing,Origin HR,Mumbai,Immediately,3 Months,"5,000-10,000 /month",16 Aug' 22
9643,Data Entry,Social Lab Environmental Solutions Private Limited,Pune,Immediately,2 Months,"3,000-5,000 /month",16 Aug' 22
9644,Content Writing,Cretum Advisory,Delhi,Immediately,3 Months,"3,000-5,000 /month",16 Aug' 22
9645,Graphic Design,Idiotic Media,Delhi,Immediately,3 Months,"5,000-8,000 /month",17 Aug' 22
9646,Human Resources (HR),Clark & Kent,Work From Home,Immediately,3 Months,"3,000 /month",17 Aug' 22
9647,Brand & Sales Management,Thinking Monkey,Work From Home,Immediately,3 Months,"5,000 /month +  Incentives",16 Aug' 22
9648,UI/UX & Graphics Design,SRG ITERATEs,Work From Home,Immediately,3 Months,"3,000-7,500 /month",16 Aug' 22
9649,Web Development,Intracia Technologies Private Limited,Work From Home,Immediately,6 Months,"11,000 /month",16 Aug' 22
9650,Business Development (Sales),Acelucid Technologies,Dehradun,Immediately,2 Months,"5,000-7,000 /month",17 Aug' 22
9651,Photography,Nimisha Singhal,Delhi,Immediately,2 Months,"10,000-12,000 /month",17 Aug' 22
9652,Design,Honey And Spice,Bangalore,Immediately,3 Months,"10,000-15,000 /month",16 Aug' 22
9653,Web Development,RABS Net Solutions,Mumbai,Immediately,6 Months,"10,000 /month",17 Aug' 22
9654,Script Writing,Idiotic Media,Gurgaon,Immediately,3 Months,"5,000-8,000 /month",17 Aug' 22
9655,Human Resources (HR),Audi Mumbai West,Mumbai,Immediately,6 Months,"10,000 /month",16 Aug' 22
9656,Business Development (Sales),Innovura Technologies Private Limited,Ahmedabad,Immediately,4 Months,"7,000 /month +  Incentives",16 Aug' 22
9657,PHP Development,WeSkilled,Muzaffarpur,Immediately,6 Months,"2,000-10,000 /month",16 Aug' 22
9658,Talent Acquisition,Moshi Moshi,Bangalore,Immediately,3 Months,"8,000-10,000 /month",17 Aug' 22
9659,Web Development,CalciteX Cybernetics LLP,Secunderabad,Immediately,2 Months,"5,000 /month",16 Aug' 22
9660,Business Development (Sales),Absttract Vogue Private Limited,Work From Home,Immediately,2 Months,"2,000 /month",16 Aug' 22
9661,Business Development (Sales),Corner Solutions,Mumbai,Immediately,3 Months,"2,000 /month +  Incentives",16 Aug' 22
9662,Operations,Servon Solution LLP,Work From Home,Immediately,2 Months,"2,000-5,000 /month",16 Aug' 22
9663,Business Development (Sales),Coding Ninjas,Gurgaon,Immediately,6 Months,"30,000 /month",16 Aug' 22
9664,Graphic Design,Ema Special Products & Services Private Limited,Work From Home,Immediately,2 Months,"500-1,000 /week",16 Aug' 22
9665,Psychology,Happitude Studio,Delhi,Immediately,6 Months,"5,000 /month",17 Aug' 22
9666,Human Resources (HR),Motilal Oswal Financial Services Limited,Mumbai,Immediately,6 Months,"5,000 /month",16 Aug' 22
9667,Content Writing,Prescinto,Work From Home,Immediately,6 Months,"10,000-20,000 /month",16 Aug' 22
9668,Research Engineer Trainee (Robotics/AI/Cyber Security),Wingfotech Private Limited,Work From Home,Immediately,3 Months,"7,000-10,000 /month",16 Aug' 22
9669,Graphic Design,UnTold Media,Work From Home,Immediately,6 Months,"7,000 /month",16 Aug' 22
9670,Audit & Accounts,Auxilium Corporate Consultants Private Limited,Jaipur,Immediately,6 Months,"5,000 /month",17 Aug' 22
9671,Digital Marketing,CoinChem Consulting,Work From Home,Immediately,3 Months,"1,000 /month +  Incentives",16 Aug' 22
9672,Content Writing,VK Packwell Private Limited,Mumbai,Immediately,3 Months,"6,000 /month",19 Aug' 22
9673,Marketing,Waycool Foods And Products Private Limited,Coimbatore,Immediately,6 Months,"4,000 /month",16 Aug' 22
9674,Graphic Design,Cricket Bleeds,Hyderabad,Immediately,3 Months,"6,000 /month",17 Aug' 22
9675,Civil/Architecture,Chemionix E-Solutions Pvt Ltd,Mumbai,Immediately,3 Months,"7,500 /month",16 Aug' 22
9676,Project Management,Servon Solution LLP,Work From Home,Immediately,2 Months,"5,000-10,000 /month",16 Aug' 22
9677,Web Development,Aimsoft Technologies,Bhilai,Immediately,4 Months,"10,000 /month",17 Aug' 22
9678,Chartered Accountancy (CA),Shah S And Associates,Pune,Immediately,12 Months,"4,000 /month",17 Aug' 22
9679,Content Writing,Cricket Bleeds,Hyderabad,Immediately,3 Months,"5,000 /month",17 Aug' 22
9680,Customer Research,DutyPar (AI Technologies Private Limited),Pune,Immediately,3 Months,"2,000 /month",16 Aug' 22
9681,Graphic Design,Zoffers Private Limited,Work From Home,Immediately,3 Months,"5,000-10,000 /month",16 Aug' 22
9682,Business Development (Sales),Forsyte Proptech Private Limited,Bangalore,Immediately,3 Months,"10,000 /month",17 Aug' 22
9683,Telecalling,Purani Dili Talkies LLP,Delhi,Immediately,6 Months,"7,500 /month",16 Aug' 22
9684,Content Writing,Pregamate Limited,Work From Home,Immediately,3 Months,"2,000 /month",16 Aug' 22
9685,Human Resources (HR),VK Packwell Private Limited,Mumbai,Immediately,4 Months,"6,000 /month",19 Aug' 22
9686,Business Development (Sales),The Bold Marketers,Work From Home,Immediately,2 Months,"8,000 /month",17 Aug' 22
9687,Merchandise Design,FableStreet,Gurgaon,Immediately,2 Months,"10,000 /month",17 Aug' 22
9688,Graphic Design,Shakuntala Poddar Welfare Foundation,Work From Home,Immediately,2 Months,Unpaid,16 Aug' 22
9689,Human Resources (HR),Cricket Bleeds,Hyderabad,Immediately,3 Months,"8,000 /month",17 Aug' 22
9690,Business Development (Sales),Coding Ninjas,Gurgaon,Immediately,6 Months,"30,000 /month",16 Aug' 22
9691,Internal Audit & Taxation,Aditya Goel And Associates,Ludhiana,Immediately,6 Months,"2,500 /month +  Incentives",31 Aug' 22
9692,Social Media Marketing,Prasanta Communications,Hyderabad,Immediately,3 Months,"4,000 /month",16 Aug' 22
9693,Digital Marketing,South Mumbai Chess Academy Private Limited,Mumbai,Immediately,3 Months,"7,000 /month +  Incentives",16 Aug' 22
9694,Photography,Yellophant Digital,Mumbai,Immediately,3 Months,"6,000 /month",17 Aug' 22
9695,Content Writing,Emerzin Media,Work From Home,Immediately,3 Months,"4,000 /month",16 Aug' 22
9696,Content Writing,Kalmic,Jaipur,Immediately,2 Months,"5,000-10,000 /month",16 Aug' 22
9697,Civil Engineering,Unplan,Bangalore,Immediately,6 Months,"8,000 /month",17 Aug' 22
9698,Interior Design,Abhishek K,Delhi,Immediately,1 Month,"3,000 /month +  Incentives",16 Aug' 22
9699,WordPress Development,Electronics Must,Meerut,Immediately,6 Months,"4,000-8,000 /month",16 Aug' 22
9700,Architecture (B.Arch),Singh Design Studio,Delhi,Immediately,6 Months,"5,000 /month",17 Aug' 22
9701,Lead Generation,Tech2Globe Web Solutions LLP,Delhi,Immediately,6 Months,"10,000 /month",16 Aug' 22
9702,Search Engine Optimization (SEO),Electronics Must,Meerut,Immediately,6 Months,"4,000-8,000 /month",16 Aug' 22
9703,Software Development,Liveasy,Work From Home,Immediately,3 Months,"1,000 /month",16 Aug' 22
9704,Backend Development,Liveasy,Work From Home,Immediately,3 Months,"1,000 /month",16 Aug' 22
9705,Graphic Design,Skimbox Digital Marketing Company,Bangalore,Immediately,2 Months,"7,000 /month",17 Aug' 22
9706,Content Writing,Pranab Poira (HireHub),Gurgaon,Immediately,3 Months,"15,000 /month",16 Aug' 22
9707,Animation,Infideo Production,Work From Home,Immediately,2 Months,"2,500-3,500 /month",16 Aug' 22
9708,Client Servicing (Advertising),VOLUME,Delhi,Immediately,4 Months,"8,000 /month",16 Aug' 22
9709,Motion Graphics,VOLUME,Delhi,Immediately,4 Months,"8,000 /month",16 Aug' 22
9710,Marketing,CEOMITRA,Thane,Immediately,6 Months,"5,000 /month",16 Aug' 22
9711,Architecture,Fraterniti Foods Private Limited,Gurgaon,Immediately,1 Month,"2,000-4,000 /month",16 Aug' 22
9712,Content Writing,Kay Array,Jaipur,Immediately,3 Months,"6,000 /month",17 Aug' 22
9713,Vue Front End Development,AiBorne Tech,Work From Home,Immediately,6 Months,"10,000-15,000 /month",16 Aug' 22
9714,Business Development (Sales),Dazzlelect,Work From Home,Immediately,1 Month,"2,000 /month +  Incentives",16 Aug' 22
9715,Marketing,The Pooches Bakery,Delhi,Immediately,2 Months,"2,000 /month +  Incentives",16 Aug' 22
9716,Operations,Brandyse Media LLP,Work From Home,Immediately,3 Months,"1,000 /month +  Incentives",16 Aug' 22
9717,Operations,Brandyse Media LLP,Gurgaon,Immediately,3 Months,"2,000 /month +  Incentives",16 Aug' 22
9718,Content Writing,Nemesis CFO Consultants,Work From Home,Immediately,1 Month,"1,000 /month +  Incentives",16 Aug' 22
9719,Content Writing,Gaussian Networks Private Limited,Panaji,Immediately,3 Months,"15,000 /month",17 Aug' 22
9720,Marketing,Nioclass,Delhi,Immediately,1 Month,"8,000 /month",18 Aug' 22
9721,Video Making/Editing,Saffron4health,Mumbai,Immediately,3 Months,"3,000 /month +  Incentives",16 Aug' 22
9722,Fashion Design,Rahem,Hyderabad,Immediately,2 Months,"12,000 /month",16 Aug' 22
9723,Graphic Design,Practico,Work From Home,Immediately,3 Months,"1,000 /week +  Incentives",16 Aug' 22
9724,Marketing,JOJO Edtech Private Limited,Delhi,Immediately,3 Months,"8,000-10,000 /month",17 Aug' 22
9725,Digital Marketing,Hunar,Work From Home,Immediately,2 Months,"2,500-7,500 /month",16 Aug' 22
9726,Human Resources (HR),Codeyoung,Bangalore,Immediately,3 Months,"5,000 /month",16 Aug' 22
9727,Video Making/Editing,Practico,Work From Home,Immediately,3 Months,"1,000 /week +  Incentives",16 Aug' 22
9728,Data Annotation,Daten & Wissen Private Limited,Mumbai,Immediately,3 Months,"5,000 /month",17 Aug' 22
9729,Content Writing,GM Infotech,Mumbai,Immediately,6 Months,"20,000 /month",16 Aug' 22
9730,Content Writing,JK Newsline,Work From Home,Immediately,3 Months,"3,000-5,000 /month",16 Aug' 22
9731,Business Development (Sales),Scientificatt,Work From Home,Immediately,3 Months,"3,000 /month",16 Aug' 22
9732,Inside Sales,Stirring Minds,Delhi,Immediately,2 Months,"10,000-12,000 /month",16 Aug' 22
9733,Graphic Design,Murraad Creatives & Co.,Bangalore,Immediately,3 Months,"6,000 /month",16 Aug' 22
9734,Digital Transformation,AntWalk,Work From Home,Immediately,3 Months,"8,000-12,000 /month",16 Aug' 22
9735,Business Development (Sales),Credale,Work From Home,Immediately,3 Months,"10,000 /month +  Incentives",16 Aug' 22
9736,Event Management,TEAMCORE EVENTS,Faridabad,Immediately,2 Months,"10,000-20,000 /month",17 Aug' 22
9737,Supply Chain Management (SCM),Negbuy,Delhi,Immediately,4 Months,"8,000-10,000 /month",17 Aug' 22
9738,Marketing,ALDECOR INTERIORS PVT LTD,Bangalore,Immediately,6 Months,"15,000-20,000 /month",16 Aug' 22
9739,Content Writing,The Research Pedia,Work From Home,Immediately,2 Months,"11,000 lump sum",17 Aug' 22
9740,Computer Vision,Lawnics Technologies Private Limited,Work From Home,Immediately,6 Months,"1,000-3,000 /month",17 Aug' 22
9741,Digital Marketing,Marketingvally,Work From Home,Immediately,2 Months,"2,000 /month",16 Aug' 22
9742,Content Writing,Henry Harvin Education,Work From Home,Immediately,4 Months,"2,000-4,000 /month",17 Aug' 22
9743,Content Writing,Boolment Software Development Private Limited,Work From Home,Immediately,6 Months,"7,000-10,000 /month",17 Aug' 22
9744,Graphic Design,Arcmyk Media And Studios,Delhi,Immediately,3 Months,"10,000 /month",16 Aug' 22
9745,Web Development,Infilect Technologies,Bangalore,Immediately,6 Months,"50,000 /month",17 Aug' 22
9746,Graphic Design,Boolment Software Development Private Limited,Work From Home,Immediately,6 Months,"7,000-12,000 /month",19 Aug' 22
9747,Social Media Marketing,The Bombay Digital Company,Mumbai,Immediately,6 Months,"8,000 /month",17 Aug' 22
9748,Operations,The Tarzan Way,Work From Home,Immediately,3 Months,"4,000-7,000 /month",16 Aug' 22
9749,Content Writing,DH Group,Surat,Immediately,4 Months,"8,000 /month +  Incentives",16 Aug' 22
9750,Embedded Testing,BatteryPool,Pune,Immediately,2 Months,"7,500-10,000 /month",17 Aug' 22
9751,Social Media Marketing,Shree Guru Jambeshwar Sewa Sansthan,Work From Home,Immediately,1 Month,Unpaid,19 Aug' 22
9752,Cyber Crime Investigation,DTF Cyber Security Services Private Limited,Pune,Immediately,6 Months,"7,000 /month",16 Aug' 22
9753,Business Development (Sales),Chayam Tea,Kolkata,Immediately,6 Months,"15,000 /month",17 Aug' 22
9754,Human Resources (HR),Balaji Info Solution,Noida,Immediately,3 Months,"5,000 /month",17 Aug' 22
9755,Graphic Design,The Brand Window,Ahmedabad,Immediately,3 Months,"5,000-10,000 /month",17 Aug' 22
9756,Content Writing,Enroute Digital Private Limited,Work From Home,Immediately,6 Months,"6,500 /month",17 Aug' 22
9757,Graphic Design,Capricorn Identity Services Private Limited,Delhi,Immediately,6 Months,"10,000 /month",17 Aug' 22
9758,Database Building/Management,Scientificatt,Delhi,Immediately,6 Months,"25,000 /month",16 Aug' 22
9759,Social Media Marketing,Murraad Creatives & Co.,Bangalore,Immediately,3 Months,"7,000 /month",16 Aug' 22
9760,Digital Marketing,Sense Digital Media Private Limited,Gurgaon,Immediately,3 Months,"10,000 /month",16 Aug' 22
9761,Management,Plan My Health,Work From Home,Immediately,4 Months,"3,000-5,000 /month",16 Aug' 22
9762,Graphic Design,Nioclass,Delhi,Immediately,1 Month,"8,000 /month",18 Aug' 22
9763,Business Development (Sales),LM Technologies,Chennai,Immediately,3 Months,"12,000 /month",16 Aug' 22
9764,Social Media Marketing,Heartiee Greetings,Work From Home,Immediately,3 Months,"5,000 /month",17 Aug' 22
9765,Business Development (Sales),Nice Dwellings,Work From Home,Immediately,6 Months,"8,000 /month",17 Aug' 22
9766,Human Resources (HR),MLAI Digital Limited,Faridabad,Immediately,6 Months,"4,000 /month",16 Aug' 22
9767,Video Making/Editing,IndustryOwl,Delhi,Immediately,3 Months,"6,000-12,000 /month",17 Aug' 22
9768,Social Media Marketing,Oh My Momo,Work From Home,Immediately,3 Months,"2,000 /month",16 Aug' 22
9769,Business Development (Sales),Kepler Techno,Chennai,Immediately,6 Months,"12,000 /month",17 Aug' 22
9770,Graphic Design,Neuherbs,Noida,Immediately,3 Months,"8,000 /month",17 Aug' 22
9771,Web Development,Gohashinclude Private Limited,Jaipur,Immediately,3 Months,"5,000 /month",16 Aug' 22
9772,Digital Marketing,SimplePlan Media,Delhi,Immediately,3 Months,"10,000 /month",17 Aug' 22
9773,Business Development (Sales),MLAI Digital Limited,Faridabad,Immediately,6 Months,"4,000 /month",16 Aug' 22
9774,Anchoring & Video Editing,Gururo,Work From Home,Immediately,2 Months,"1,000 /month +  Incentives",16 Aug' 22
9775,Flutter Development,Creavian Digital Media,Work From Home,Immediately,4 Months,"6,000-10,000 /month",17 Aug' 22
9776,Campus Ambassador,RavGins International Private Limited (Wobb.ai),Work From Home,Immediately,6 Months,Performance Based,16 Aug' 22
9777,Auditing,Ashruti Consultants LLP,Hyderabad,Immediately,3 Months,"9,000 /month",16 Aug' 22
9778,PHP Development & CI,Trendy Online Solution,Delhi,Immediately,2 Months,"12,000-18,000 /month",16 Aug' 22
9779,Business Development (Sales),Radar Soft Technologies,Work From Home,Immediately,3 Months,"15,000 lump sum +  Incentives",16 Aug' 22
9780,Marketing & Sales,Voyage Technologies,Chennai,Immediately,6 Months,"15,000-20,000 /month",17 Aug' 22
9781,Graphic Design,Immigrid,Work From Home,Immediately,2 Months,"4,000 /month",16 Aug' 22
9782,Digital Marketing,MindAssets,Mumbai,Immediately,3 Months,"10,000-20,000 /month",16 Aug' 22
9783,3D Model Design,Dobby Ads,Work From Home,Immediately,3 Months,"15,000-20,000 /month",16 Aug' 22
9784,Content Writing,Funnearn,Work From Home,Immediately,6 Months,"7,000 /month",17 Aug' 22
9785,PHP Development,Codezin Technology Solutions,Kolkata,Immediately,3 Months,"5,000 /month",16 Aug' 22
9786,Pentab Video Creation (Chemistry),Physics Wallah,Work From Home,Immediately,2 Months,"15,000-20,000 /month",16 Aug' 22
9787,Assistance (Direction) - Male,Purani Dili Talkies LLP,Delhi,Immediately,6 Months,"7,500 /month",16 Aug' 22
9788,Photography,Pet Project India Private Limited,Delhi,Immediately,1 Week,"2,500 /week",16 Aug' 22
9789,Digital Marketing,Promena LLP,Bangalore,Immediately,3 Months,"6,000 /month",16 Aug' 22
9790,Campus Ambassador,E-LITERATE EDUCATION,Work From Home,Immediately,2 Months,Performance Based,16 Aug' 22
9791,Accounts,Neemtree Internet Private Limited,Mumbai,Immediately,6 Months,"8,000 /month",16 Aug' 22
9792,Graphic Design,Simplify360,Bangalore,Immediately,6 Months,"5,000 /month",16 Aug' 22
9793,Human Resources (HR),Coffee Bean Technologies,Work From Home,Immediately,6 Months,"5,000 /month",17 Aug' 22
9794,Crowdfunding (PR),Artemis Foundation,Work From Home,Immediately,1 Month,Unpaid,16 Aug' 22
9795,Business Development (Sales),WeddingPlz,Delhi,Immediately,3 Months,"10,000 /month",17 Aug' 22
9796,Content Writing,VenueMonk,Work From Home,Immediately,3 Months,"5,000 /month",16 Aug' 22
9797,Business Development (Sales),HelloTravel,Work From Home,Immediately,6 Months,"10,000 /month +  Incentives",16 Aug' 22
9798,Content Writing,WeddingPlz,Work From Home,Immediately,3 Months,"5,000 /month",17 Aug' 22
9799,Human Resources (HR),Cogniticx,Work From Home,Immediately,6 Months,"5,000 /month",17 Aug' 22
9800,Telecalling,Orangefox,Work From Home,Immediately,3 Months,"4,000-7,000 /month",17 Aug' 22
9801,Business Development (Sales),Jagatmitra Foundation,Delhi,Immediately,3 Months,"8,000 /month",16 Aug' 22
9802,Graphic Design,COSMUS BAGS PRIVATE LIMITED,Mumbai,Immediately,3 Months,"10,000 /month",17 Aug' 22
9803,Digital Marketing,Jagatmitra Foundation,Delhi,Immediately,3 Months,"10,000 /month",16 Aug' 22
9804,Accounts & Legal,Mpower Energy Company Private Limited,Pune,Immediately,6 Months,"2,500 /month",17 Aug' 22
9805,2D Animation,Yodhra Telugu Cartoon,Work From Home,Immediately,6 Months,"8,000 /month",16 Aug' 22
9806,Cartoon Story Creation (Storyboard),Yodhra Telugu Cartoon,Work From Home,Immediately,6 Months,"5,000 /month",17 Aug' 22
9807,Social Media Marketing,Nowgray,Lucknow,Immediately,3 Months,"5,000-10,000 /month",16 Aug' 22
9808,Digital Marketing,Kutastha Foundation,Work From Home,Immediately,2 Months,"5,000 /month",17 Aug' 22
9809,Web Development,DB Valves (India),Delhi,Immediately,6 Months,"15,000 /month",16 Aug' 22
9810,Subject Matter Expert (Statistics),Nerdy Turtlez,Kolkata,Immediately,6 Months,"17,000-18,000 /month",17 Aug' 22
9811,Chemical & Mechanical Engineering,Mpower Energy Company Private Limited,Pune,Immediately,6 Months,"2,500 /month",17 Aug' 22
9812,Animation,Yodhra Telugu Cartoon,Work From Home,Immediately,6 Months,"10,000 /month",16 Aug' 22
9813,Graphic Design,VOLUME,Delhi,Immediately,4 Months,"8,000 /month",16 Aug' 22
9814,Cartoon Storyboard/Story Creation/YouTube Thumbnail,Yodhra Telugu Cartoon,Work From Home,Immediately,6 Months,"5,000 /month",17 Aug' 22
9815,Content Writing,IndustryOwl,Delhi,Immediately,3 Months,"6,000-12,000 /month",17 Aug' 22
9816,Human Resources (HR),Talent Squeed,Work From Home,Immediately,6 Months,"1,500 /month",17 Aug' 22
9817,Operations,SME Consulting Services,Work From Home,Immediately,3 Months,"3,000 /month",16 Aug' 22
9818,2d Cartoon Animation,Yodhra Telugu Cartoon,Work From Home,Immediately,6 Months,"10,000 /month",17 Aug' 22
9819,Chemistry And Biotechnology,Mpower Energy Company Private Limited,Pune,Immediately,6 Months,"2,500 /month",17 Aug' 22
9820,Human Resources (HR),United Beings Foundation,Work From Home,Immediately,3 Months,Unpaid,16 Aug' 22
9821,Graphic Design,LabourNet,Bangalore,Immediately,1 Month,"5,000 /month",16 Aug' 22
9822,Research (Startup India),"Association For Transparency, Governance & Public Grievances",Work From Home,Immediately,1 Month,Unpaid,16 Aug' 22
9823,Technical & Fundamental Analysis (Capital Market),B B ADVISORY,Bangalore,Immediately,2 Months,"2,000-8,000 /month",16 Aug' 22
9824,Business Development (Sales),Ecoideaz Ventures,Bangalore,Immediately,2 Months,"5,000 /month +  Incentives",16 Aug' 22
9825,Operations,Maanya QuickSource Private Limited,Navi Mumbai,Immediately,6 Months,"6,000 /month",16 Aug' 22
9826,Digital Marketing,ISIE (Imperial Society Of Innovative Engineers),Work From Home,Immediately,3 Months,"1,000 /month +  Incentives",16 Aug' 22
9827,Digital Marketing,Maanya QuickSource Private Limited,Navi Mumbai,Immediately,1 Week,"5,000 /month",16 Aug' 22
9828,Human Resources (HR),Corporate Access Technology,Gurgaon,Immediately,3 Months,"8,000 /month",16 Aug' 22
9829,Mobile App Development,Orbit Build & Clean India Private Limited,Delhi,Immediately,3 Months,"6,000-10,000 /month",16 Aug' 22
9830,Energy Science and Engineering,Ecoideaz Ventures,Work From Home,Immediately,2 Months,"2,000 /month +  Incentives",16 Aug' 22
9831,Front End Development,Sarga Additive Manufacturing Private Limited,Delhi,Immediately,3 Months,"8,000-12,000 /month",16 Aug' 22
9832,Graphic Design,Typeset,Bangalore,Immediately,3 Months,"25,000-30,000 /month",16 Aug' 22
9833,Content Writing,Ecoideaz Ventures,Work From Home,Immediately,2 Months,"1,000 /week",19 Aug' 22
9834,Human Resources (HR),Jetking,Gurgaon,Immediately,6 Months,"6,000 /month",16 Aug' 22
9835,Content Writing,Simplify360,Bangalore,Immediately,6 Months,"5,000 /month",16 Aug' 22
9836,Web Development,The Dreamer Designs,Work From Home,Immediately,6 Months,"7,000-11,000 /month",16 Aug' 22
9837,WordPress Development,Quantic Business Media Private Limited,Mumbai,Immediately,6 Months,"16,000 /month",16 Aug' 22
9838,Marketing,Moha,Thane,Immediately,6 Months,"8,000-12,000 /month",16 Aug' 22
9839,Graphic Design,Return Journey LLP,Work From Home,Immediately,3 Months,"13,500 /month",16 Aug' 22
9840,Business Development (Sales),Srchout (Akitstee Technologies Private Limited),Gurgaon,Immediately,6 Months,"10,000 /month",16 Aug' 22
9841,Healthcare Analysis,Kryptonas Innovations Private Limited,Delhi,Immediately,2 Months,"10,000-15,000 /month",16 Aug' 22
9842,Human Resources (HR),Mancer Consulting Services Private Limited,Delhi,Immediately,1 Month,"5,000 /month",16 Aug' 22
9843,Business Development (Sales),Kaptune Media India Private Limited,Noida,Immediately,3 Months,"10,000 /month",16 Aug' 22
9844,Marketing,Online Gurukul,Jabalpur,Immediately,3 Months,"6,000 /month",16 Aug' 22
9845,Software Development,SoftTact Technologies,Mumbai,Immediately,6 Months,"10,000 /month",16 Aug' 22
9846,Direction,Purani Dili Talkies LLP,Delhi,Immediately,6 Months,"7,500 /month",16 Aug' 22
9847,Social Work,Speak Up World Foundation,Work From Home,Immediately,3 Months,Unpaid,16 Aug' 22
9848,Business Development (Sales),Neolen,Work From Home,Immediately,6 Months,"10,000 /month",16 Aug' 22
9849,Operations,KareerKraft Nexgen Employment Advisory LLP,Mumbai,Immediately,2 Months,"11,000 /month",16 Aug' 22
9850,Digital Marketing,Empre Solutions Private Limited,Delhi,Immediately,3 Months,"8,000 /month",16 Aug' 22
9851,Content Writing,HOVO Digital,Delhi,Immediately,3 Months,"3,000-5,000 /month",16 Aug' 22
9852,Digital Marketing,Dazzlelect,Work From Home,Immediately,2 Months,"2,000 /month +  Incentives",16 Aug' 22
9853,Digital Marketing,Invest Mango,Noida,Immediately,3 Months,"5,000 /month",16 Aug' 22
9854,Aircraft Design & Field Testing,Invictus Defence Systems Private Limited,Bangalore,Immediately,6 Months,"12,000 /month",16 Aug' 22
9855,Mobile App Development,TeamStarbase Private Limited,Work From Home,Immediately,6 Months,"8,000-20,000 /month",16 Aug' 22
9856,Subject Matter Expert (SME),Contexto,Work From Home,Immediately,3 Months,"5,000 /month",16 Aug' 22
9857,Campus Ambassador,Simtrak,Work From Home,Immediately,3 Months,Performance Based,16 Aug' 22
9858,Community Engagement,Imates Technology Private Limited,Work From Home,Immediately,3 Months,"10,000 /month",16 Aug' 22
9859,Business Development (Sales),HealMeRight,Work From Home,Immediately,6 Months,"3,000 /month +  Incentives",16 Aug' 22
9860,Social Media Marketing,Little Muffet,Mumbai,Immediately,3 Months,"10,000-20,000 /month",16 Aug' 22
9861,Content Writing,BUOPSO Private Limited,Delhi,Immediately,3 Months,"12,000 /month",16 Aug' 22
9862,Web Development,Guru ASP Technologgies,Delhi,Immediately,6 Months,"10,000 /month",16 Aug' 22
9863,Content Writing,Cyberninza Services,Work From Home,Immediately,3 Months,"5,000 /month",16 Aug' 22
9864,Operations,Econaur,Jaipur,Immediately,4 Months,"6,000-10,000 /month",16 Aug' 22
9865,Business Development (Sales),Triwits Technologies,Bagalkot,Immediately,4 Months,"5,000-10,000 /month",16 Aug' 22
9866,Assamese DTP Operations,Anubhav Mahanta,Guwahati,Immediately,1 Month,"9,000 /month",16 Aug' 22
9867,Human Resources (General Management and Supervising),Tanza Talks,Bangalore,Immediately,6 Months,"9,500 /month +  Incentives",16 Aug' 22
9868,Human Resources (HR),Tanza Talks,Bangalore,Immediately,6 Months,"7,000 /month +  Incentives",16 Aug' 22
9869,Digital Marketing,Triwits Technologies,Bagalkot,Immediately,4 Months,"5,000-10,000 /month",16 Aug' 22
9870,Digital Marketing,Virtuoso Apps Private Limited,Work From Home,Immediately,6 Months,"1,000 /month",16 Aug' 22
9871,Operations,Raintree Foundation,Pune,Immediately,3 Months,"12,000 /month",16 Aug' 22
9872,Graphic Design,Srchout (Akitstee Technologies Private Limited),Gurgaon,Immediately,5 Months,"10,000 /month",16 Aug' 22
9873,Digital Marketing,CodeCrunch Techlabs Private Limited,Ahmedabad,Immediately,6 Months,"6,000 /month",16 Aug' 22
9874,Business Development (Sales),Brand Aesthetics,Thane,Immediately,6 Months,"5,000 /month +  Incentives",16 Aug' 22
9875,Content Writing,Urban Tribe,Work From Home,Immediately,6 Months,"5,000-10,000 /month",16 Aug' 22
9876,Graphic Design,Neelanya,Work From Home,Immediately,2 Months,"5,000-6,000 /month",16 Aug' 22
9877,Full Stack Development,Techolution,Work From Home,Immediately,6 Months,"30,000-40,000 /month",16 Aug' 22
9878,Planisware Development,I2E Consulting Private Limited,Pune,Immediately,6 Months,"5,000 /month",16 Aug' 22
9879,Content Writing,Urban Tribe,Mumbai,Immediately,6 Months,"5,000-10,000 /month",16 Aug' 22
9880,Business Development (Sales),The FashionKraft,Work From Home,Immediately,1 Month,"1,000 /month +  Incentives",16 Aug' 22
